paper,title,room,category
46,Bohdi: Heterogeneous LLM Fusion with Automatic Data Exploration,Room 8,applications
47,How Does Sequence Modeling Architecture Influence Base Capabilities of Pre-trained Language Models? Exploring Key Architecture Design Principles to Avoid Base Capabilities Degradation,Room 8,deep_learning
48,Iterative Missing Data Imputation with Model Form Adaptation and Non-Missing Feature Supervision,Room 1,applications
49,Reinforcement Learning with Backtracking Feedback,Room 10,deep_learning
50,Exploring Landscapes for Better Minima along Valleys,Room 4,optimization
51,Safe RLHF-V: Safe Reinforcement Learning from Multi-modal Human Feedback,Room 3,social_and_economic_aspects_of_machine_learning
52,World-aware Planning Narratives Enhance Large Vision-Language Model Planner,Room 9,reinforcement_learning
53,An Analysis of Causal Effect Estimation using Outcome Invariant Data Augmentation,Room 11,probabilistic_methods
54,Embodied Cognition Augmented End2End Autonomous Driving,Room 2,deep_learning
55,Feature-aware Modulation for Learning from Temporal Tabular Data,Room 8,deep_learning
56,Seemingly Redundant Modules Enhance Robust Odor Learning in Fruit Flies,Room 1,neuroscience_and_cognitive_science
57,Brain-tuning Improves Generalizability and Efficiency of Brain Alignment in Speech Models,Room 9,neuroscience_and_cognitive_science
58,Multi-Agent Imitation by Learning and Sampling from Factorized Soft Q-Function,Room 10,reinforcement_learning
59,Root Cause Analysis of Outliers with Missing Structural Knowledge,Room 11,probabilistic_methods
60,Deciphering the Extremes: A Novel Approach for Pathological Long-tailed Recognition in Scientific Discovery,Room 1,general_machine_learning
61,Causal Mixture Models: Characterization and Discovery,Room 1,general_machine_learning
62,From Dormant to Deleted: Tamper-Resistant Unlearning Through Weight-Space Regularization,Room 9,deep_learning
63,TV-Rec: Time-Variant Convolutional Filter for Sequential Recommendation,Room 2,deep_learning
64,AutoSciDACT: Automated Scientific Discovery through Contrastive Embedding and Hypothesis Testing,Room 1,machine_learning_for_sciences
65,Multivariate Latent Recalibration for Conditional Normalizing Flows,Room 6,probabilistic_methods
66,Teaching Language Models to Reason with Tools,Room 3,applications
67,Generative Modeling of Full-Atom Protein Conformations using Latent Diffusion on Graph Embeddings,Room 11,machine_learning_for_sciences
68,Price of Parsimony: Complexity of Fourier Sparsity Testing,Room 12,theory
69,CoCoA: A Minimum Bayes Risk Framework Bridging Confidence and Consistency for Uncertainty Quantification in LLMs,Room 3,deep_learning
70,OpenCUA: Open Foundations for Computer-Use Agents,Room 3,applications
71,On the Global Optimality of Policy Gradient Methods in General Utility Reinforcement Learning,Room 4,reinforcement_learning
72,Near-Optimal Experiment Design in Linear non-Gaussian Cyclic Models,Room 1,probabilistic_methods
73,Hybrid Latent Representations for PDE Emulation,Room 2,machine_learning_for_sciences
74,MoodAngels: A Retrieval-augmented Multi-agent Framework for Psychiatry Diagnosis,Room 3,applications
75,Meta-learning how to Share Credit among Macro-Actions,Room 4,reinforcement_learning
76,Mitigating Spurious Features in Contrastive Learning with Spectral Regularization,Room 2,general_machine_learning
77,FedFACT: A Provable Framework for Controllable Group-Fairness Calibration in Federated Learning,Room 9,social_and_economic_aspects_of_machine_learning
78,Transformer Key-Value Memories Are Nearly as Interpretable as Sparse Autoencoders,Room 2,social_and_economic_aspects_of_machine_learning
79,Beyond Oracle: Verifier-Supervision for Instruction Hierarchy in Reasoning and Instruction-Tuned LLMs,Room 3,deep_learning
80,ASDSV: Multimodal Generation Made Efficient with Approximate Speculative Diffusion and Speculative Verification,Room 8,infrastructure
81,Towards Accurate Time Series Forecasting via Implicit Decoding,Room 6,applications
82,SAFEPATH: Preventing Harmful Reasoning in Chain-of-Thought via Early Alignment,Room 7,social_and_economic_aspects_of_machine_learning
83,Diffusing DeBias: Synthetic Bias Amplification for Model Debiasing,Room 8,applications
84,Escaping saddle points without Lipschitz smoothness: the power of nonlinear preconditioning,Room 12,optimization
85,"Perturb a Model, Not an Image: Towards Robust Privacy Protection via Anti-Personalized Diffusion Models",Room 7,social_and_economic_aspects_of_machine_learning
86,Why Playing Against Diverse and Challenging Opponents Speeds Up Coevolution: A Theoretical Analysis on Combinatorial Games,Room 10,theory
87,Theoretical Guarantees for the Retention of Strict Nash Equilibria by Coevolutionary Algorithms,Room 10,theory
88,Stochastic Principal-Agent Problems: Computing and Learning Optimal History-Dependent Policies,Room 4,theory
89,Large language models can learn and generalize steganographic chain-of-thought under process supervision,Room 3,deep_learning
90,PyraMotion: Attentional Pyramid-Structured Motion Integration for Co-Speech 3D Gesture Synthesis,Room 2,applications
91,Monoculture or Multiplicity: Which Is It?,Room 1,social_and_economic_aspects_of_machine_learning
92,Scalable Evaluation and Neural Models for Compositional Generalization,Room 3,evaluation
93,MuRating: A High Quality Data Selecting Approach to Multilingual Large Language Model Pretraining,Room 3,deep_learning
94,Diffusion Adaptive Text Embedding for Text-to-Image Diffusion Models,Room 5,deep_learning
95,Activation Control for Efficiently Eliciting Long Chain-of-thought Ability of Language Models,Room 7,deep_learning
96,LinEAS: End-to-end Learning of Activation Steering with a Distributional Loss,Room 1,deep_learning
97,PDEfuncta: Spectrally-Aware Neural Representation for PDE Solution Modeling,Room 2,machine_learning_for_sciences
98,Minimizing False-Positive Attributions in Explanations of Non-Linear Models,Room 3,social_and_economic_aspects_of_machine_learning
99,Rethinking PCA Through Duality,Room 4,general_machine_learning
100,A Markov Decision Process for Variable Selection in Branch & Bound,Room 12,optimization
101,Disentangled Cross-Modal Representation Learning with Enhanced Mutual Supervision,Room 2,deep_learning
102,Bandit Guided Submodular Curriculum for Adaptive Subset Selection,Room 4,general_machine_learning
103,FastDINOv2: Frequency Based Curriculum Learning Improves Robustness and Training Speed,Room 9,deep_learning
104,Direct Fisher Score Estimation for Likelihood Maximization,Room 3,probabilistic_methods
105,Training-Free Safe Text Embedding Guidance for Text-to-Image Diffusion Models,Room 7,deep_learning
106,Path-Enhanced Contrastive Learning for Recommendation,Room 2,applications
107,T-REGS: Minimum Spanning Tree Regularization for Self-Supervised Learning,Room 2,general_machine_learning
108,Learning conformational ensembles of proteins based on backbone geometry,Room 4,machine_learning_for_sciences
109,Generating Informative Samples for Risk-Averse Fine-Tuning of Downstream Tasks,Room 4,general_machine_learning
110,AceSearcher: Bootstrapping Reasoning and Search for LLMs via Reinforced Self-Play,Room 12,applications
111,Constrained Best Arm Identification,Room 1,reinforcement_learning
112,Towards Visualization-of-Thought Jailbreak Attack against Large Visual Language Models,Room 2,other
113,The Cost of Robustness: Tighter Bounds on Parameter Complexity for Robust Memorization in ReLU Nets,Room 12,theory
114,DeltaFlow: An Efficient Multi-frame Scene Flow Estimation Method,Room 5,applications
115,Mixing Expert Knowledge: Bring Human Thoughts Back To the Game of Go,Room 10,deep_learning
116,MetaKoopman: Bayesian Meta-Learning of Koopman Operators for Modeling Structured Dynamics under Distribution Shifts,Room 4,reinforcement_learning
117,Spike-RetinexFormer: Rethinking Low-light Image Enhancement with Spiking Neural Networks,Room 9,neuroscience_and_cognitive_science
118,IPAD: Inverse Prompt for AI Detection - A Robust and Interpretable LLM-Generated Text Detector,Room 10,applications
119,Making Classic GNNs Strong Baselines Across Varying Homophily: A Smoothness–Generalization Perspective,Room 3,deep_learning
120,Unveiling the Uncertainty in Embodied and Operational Carbon of Large AI Models through a Probabilistic Carbon Accounting Model,Room 1,social_and_economic_aspects_of_machine_learning
121,Graph-Theoretic Insights into Bayesian Personalized Ranking for Recommendation,Room 1,deep_learning
122,From Linear to Nonlinear: Provable Weak-to-Strong Generalization through Feature Learning,Room 6,theory
123,STAR: Efficient Preference-based Reinforcement Learning via Dual Regularization,Room 11,reinforcement_learning
124,CURV: Coherent Uncertainty-Aware Reasoning in Vision-Language Models for X-Ray Report Generation,Room 2,applications
125,EvaLearn: Quantifying the Learning Capability and Efficiency of LLMs via Sequential Problem Solving,Room 8,evaluation
126,Simple and Efficient Heterogeneous Temporal Graph Neural Network,Room 8,deep_learning
127,Rethinking Out-of-Distribution Detection and Generalization with Collective Behavior Dynamics,Room 1,general_machine_learning
128,FracFace: Breaking the Visual Clues—Fractal-Based Privacy-Preserving Face Recognition,Room 2,applications
129,An Adaptive Quantum Circuit of Dempster's Rule of Combination for Uncertain Pattern Classification,Room 4,theory
130,TARFVAE: Efficient One-Step Generative Time Series Forecasting via TARFLOW based VAE,Room 2,deep_learning
131,FairDICE: Fairness-Driven Offline Multi-Objective Reinforcement Learning,Room 1,reinforcement_learning
132,One for All: Universal Topological Primitive Transfer for Graph Structure Learning,Room 3,deep_learning
133,EVOREFUSE: Evolutionary Prompt Optimization for Evaluation and Mitigation of LLM Over-Refusal to Pseudo-Malicious Instructions,Room 10,social_and_economic_aspects_of_machine_learning
134,Dynamic Regret Reduces to Kernelized Static Regret,Room 4,theory
135,A Differential and Pointwise Control Approach to Reinforcement Learning,Room 4,theory
136,Web-Shepherd: Advancing PRMs for Reinforcing Web Agents,Room 3,applications
137,The Quest for Universal Master Key Filters in DS-CNNs,Room 9,deep_learning
138,Scaling Code-Assisted Chain-of-Thoughts and Instructions for Model Reasoning,Room 3,deep_learning
139,Scalable Feature Learning on Huge Knowledge Graphs for Downstream Machine Learning,Room 1,general_machine_learning
140,How do Transformers Learn Implicit Reasoning?,Room 3,deep_learning
141,Deep Compositional Phase Diffusion for Long Motion Sequence Generation,Room 2,deep_learning
142,"When Kernels Multiply, Clusters Unify: Fusing Embeddings with the Kronecker Product",Room 5,deep_learning
143,ConceptScope: Characterizing Dataset Bias via Disentangled Visual Concepts,Room 3,applications
144,CLAWS:Creativity detection for LLM-generated solutions using Attention Window of Sections,Room 7,deep_learning
145,Robot-R1: Reinforcement Learning for Enhanced Embodied Reasoning in Robotics,Room 9,deep_learning
146,Joint Relational Database Generation via Graph-Conditional Diffusion Models,Room 1,deep_learning
147,Wasserstein Convergence of Critically Damped Langevin Diffusions,Room 6,probabilistic_methods
148,Efficient Low Rank Attention for Long-Context Inference in Large Language Models,Room 12,deep_learning
149,Learning Memory-Enhanced Improvement Heuristics for Flexible Job Shop Scheduling,Room 12,optimization
150,On the sample complexity of semi-supervised multi-objective learning,Room 1,theory
151,Diversifying Parallel Ergodic Search: A Signature Kernel Evolution Strategy,Room 4,reinforcement_learning
152,Diversity-Aware Policy Optimization for Large Language Model Reasoning,Room 1,deep_learning
153,Elastic ViTs from Pretrained Models without Retraining,Room 9,deep_learning
154,S-Crescendo: A Nested Transformer Weaving Framework for Scalable Nonlinear System in S-Domain Representation,Room 1,machine_learning_for_sciences
155,Fixed-Point RNNs: Interpolating from Diagonal to Dense,Room 7,deep_learning
156,Adaptive Time Encoding for Irregular Multivariate Time-Series Classification,Room 2,deep_learning
157,Prior Forgetting and In-Context Overfitting,Room 7,deep_learning
158,Boosting Adversarial Transferability with Spatial Adversarial Alignment,Room 8,deep_learning
159,Direct3D-S2: Gigascale 3D Generation Made Easy with Spatial Sparse Attention,Room 9,deep_learning
160,Addressing Mark Imbalance in Integration-free Marked Temporal Point Processes,Room 2,general_machine_learning
161,More Than Just Functional: LLM-as-a-Critique for Efficient Code Generation,Room 9,other
162,A Circular Argument: Does RoPE need to be Equivariant for Vision?,Room 1,deep_learning
163,UnCLe: Towards Scalable Dynamic Causal Discovery in Non-linear Temporal Systems,Room 6,machine_learning_for_sciences
164,Beyond Least Squares: Uniform Approximation and the Hidden Cost of Misspecification,Room 12,theory
165,Preference-driven Knowledge Distillation for Few-shot Node Classification,Room 6,deep_learning
166,AudSemThinker: Enhancing Audio-Language Models Through Reasoning over Semantics of Sound,Room 1,applications
167,On Evaluating Policies for Robust POMDPs,Room 4,reinforcement_learning
168,"Neural Rule Lists: Learning Discretizations, Rules, and Order in One Go",Room 4,social_and_economic_aspects_of_machine_learning
169,Efficient Preference-Based Reinforcement Learning: Randomized Exploration meets Experimental Design,Room 3,reinforcement_learning
170,"Statistical Analysis of the Sinkhorn Iterations for Two-Sample Schr\""{o}dinger Bridge Estimation",Room 4,theory
171,Test-Time Adaptation by Causal Trimming,Room 7,general_machine_learning
172,Learning to Insert for Constructive Neural Vehicle Routing Solver,Room 4,optimization
173,NOBLE - Neural Operator with Biologically-informed Latent Embeddings to Capture Experimental Variability in Biological Neuron Models,Room 12,neuroscience_and_cognitive_science
174,CSPCL: Category Semantic Prior Contrastive Learning for Deformable DETR-Based Prohibited Item Detectors,Room 1,applications
175,A Difference-of-Convex Functions Approach to Energy-Based Iterative Reasoning,Room 3,optimization
176,Non-Stationary Structural Causal Bandits,Room 1,probabilistic_methods
177,Bridging Theory and Practice in Link Representation with Graph Neural Networks,Room 1,deep_learning
178,TS-MOF: Two-Stage Multi-Objective Fine-tuning for Long-Tailed Recognition,Room 3,general_machine_learning
179,Bi-Directional Communication-Efficient Stochastic FL via Remote Source Generation,Room 10,probabilistic_methods
180,Less is More: Unlocking Specialization of Time Series Foundation Models via Structured Pruning,Room 6,deep_learning
181,OmniTalker: One-shot Real-time Text-Driven Talking Audio-Video Generation With Multimodal Style Mimicking,Room 2,applications
182,DUET: Dual-Perspective Pseudo Labeling and  Uncertainty-aware Exploration & Exploitation  Training for Source-Free Domain Adaptation,Room 5,general_machine_learning
183,Born a Transformer -- Always a Transformer? On the Effect of Pretraining on Architectural Abilities,Room 7,deep_learning
184,Dimensionality Mismatch Between Brains and Artificial Neural Networks,Room 1,neuroscience_and_cognitive_science
185,Uniform Wrappers: Bridging Concave to Quadratizable Functions in Online Optimization,Room 4,optimization
186,Rethinking Gradient Step Denoiser: Towards Truly Pseudo-Contractive Operator,Room 4,optimization
187,Solver-Free Decision-Focused Learning for Linear Optimization Problems,Room 12,optimization
188,Cooperative Retrieval-Augmented Generation for Question Answering: Mutual Information Exchange and Ranking by Contrasting Layers,Room 12,applications
189,Quantifying Uncertainty in Error Consistency: Towards Reliable Behavioral Comparison of Classifiers,Room 1,neuroscience_and_cognitive_science
190,ErrorTrace: A Black-Box Traceability Mechanism Based on Model Family Error Space,Room 7,social_and_economic_aspects_of_machine_learning
191,Noise Injection Reveals Hidden Capabilities of Sandbagging Language Models,Room 1,social_and_economic_aspects_of_machine_learning
192,Overcoming Long Context Limitations of State Space Models via Context Dependent Sparse Attention,Room 8,deep_learning
193,Contextual Tokenization for Graph Inverted Indices,Room 1,infrastructure
194,Neural Collapse in Cumulative Link Models for Ordinal Regression: An Analysis with Unconstrained Feature Model,Room 4,deep_learning
195,DeltaFormer: Unlock the state space of Transformer,Room 7,deep_learning
196,Periodic Skill Discovery,Room 6,reinforcement_learning
197,Reinforcement Learning with Action Chunking,Room 3,reinforcement_learning
198,Protein Design with Dynamic Protein Vocabulary,Room 7,machine_learning_for_sciences
199,MAGNET: A Multi-agent Framework for Finding Audio-Visual Needles by Reasoning over Multi-Video Haystacks,Room 11,deep_learning
200,Visual Structures Help Visual Reasoning:  Addressing the Binding Problem in LVLMs,Room 5,applications
201,Soft Thinking: Unlocking the Reasoning Potential of LLMs in Continuous Concept Space,Room 7,deep_learning
202,ReSearch: Learning to Reason with Search for LLMs via Reinforcement Learning,Room 2,applications
203,Reasoning Models Hallucinate More: Factuality-Aware Reinforcement Learning for Large Reasoning Models,Room 3,deep_learning
204,Flexible Language Modeling in Continuous Space with Transformer-based Autoregressive Flows,Room 8,deep_learning
205,Towards Reliable Code-as-Policies: A Neuro-Symbolic Framework for Embodied Task Planning,Room 2,reinforcement_learning
206,BrainOmni: A Brain Foundation Model for Unified EEG and MEG Signals,Room 5,neuroscience_and_cognitive_science
207,EventMG: Efficient Multilevel Mamba-Graph Learning for Spatiotemporal Event Representation,Room 2,deep_learning
208,Memory-Integrated Reconfigurable Adapters: A Unified Framework for Settings with Multiple Tasks,Room 6,deep_learning
209,UFO-RL: Uncertainty-Focused Optimization for Efficient Reinforcement Learning Data Selection,Room 10,deep_learning
210,Diversity as a Reward: Fine-Tuning LLMs on a Mixture of Domain-Undetermined Data,Room 1,deep_learning
211,RoMA: Scaling up Mamba-based Foundation Models for Remote Sensing,Room 5,deep_learning
212,Quantifying Elicitation of Latent Capabilities in Language Models,Room 8,deep_learning
213,Stable Matching with Ties: Approximation Ratios and Learning,Room 6,theory
214,Accurate KV Cache Eviction via Anchor Direction Projection for Efficient LLM Inference,Room 7,deep_learning
215,Reinforcement learning for one-shot DAG scheduling with comparability identification and dense reward,Room 1,reinforcement_learning
216,Tortoise and Hare Guidance: Accelerating Diffusion Model Inference with Multirate Integration,Room 4,deep_learning
217,Tropical Attention: Neural Algorithmic Reasoning for Combinatorial Algorithms,Room 3,deep_learning
218,AI-Researcher: Autonomous Scientific Innovation,Room 7,applications
219,GnnXemplar: Exemplars to Explanations - Natural Language Rules for Global GNN Interpretability,Room 1,social_and_economic_aspects_of_machine_learning
220,BREAD: Branched Rollouts from Expert Anchors Bridge SFT & RL for Reasoning,Room 10,deep_learning
221,Abstain Mask Retain Core: Time Series Prediction by Adaptive Masking Loss with Representation Consistency,Room 6,deep_learning
222,Improving Task-Specific Multimodal Sentiment Analysis with General MLLMs via Prompting,Room 8,social_and_economic_aspects_of_machine_learning
223,Segment Policy Optimization: Effective Segment-Level Credit Assignment in RL for Large Language Models,Room 10,deep_learning
224,Connecting Neural Models Latent Geometries with Relative Geodesic Representations,Room 1,deep_learning
225,MRO: Enhancing Reasoning in Diffusion Language Models via Multi-Reward Optimization,Room 11,deep_learning
226,Improving Regret Approximation for Unsupervised Dynamic Environment Generation,Room 3,reinforcement_learning
227,LaRes: Evolutionary Reinforcement Learning with LLM-based Adaptive Reward Search,Room 11,reinforcement_learning
228,Uncovering a Universal Abstract Algorithm for Modular Addition in Neural Networks,Room 4,social_and_economic_aspects_of_machine_learning
229,Inference-time Alignment in Continuous Space,Room 8,deep_learning
230,DexFlyWheel: A Scalable and Self-improving Data Generation Framework for Dexterous Manipulation,Room 5,reinforcement_learning
231,Towards Irreversible Attack: Fooling Scene Text Recognition via Multi-Population Coevolution Search,Room 8,social_and_economic_aspects_of_machine_learning
232,An Effective Levelling Paradigm for Unlabeled Scenarios,Room 8,general_machine_learning
233,Filter Like You Test: Data-Driven Data Filtering for CLIP Pretraining,Room 3,deep_learning
234,A Gradient Guidance Perspective on Stepwise Preference Optimization for Diffusion Models,Room 11,deep_learning
235,COLA: Towards Efficient Multi-Objective Reinforcement Learning with Conflict Objective Regularization in Latent Space,Room 11,reinforcement_learning
236,Learning Robust Vision-Language Models from Natural Latent Spaces,Room 8,deep_learning
237,Accelerating Diffusion LLMs via Adaptive Parallel Decoding,Room 8,deep_learning
238,CORE: Collaborative Optimization with Reinforcement Learning and Evolutionary Algorithm for Floorplanning,Room 12,reinforcement_learning
239,Volume Transmission Implements Context Factorization to Target Online Credit Assignment and Enable Compositional Generalization,Room 6,neuroscience_and_cognitive_science
240,DiffBreak: Is Diffusion-Based Purification Robust?,Room 10,social_and_economic_aspects_of_machine_learning
241,"Sinusoidal Initialization, Time for a New Start",Room 1,deep_learning
242,Metropolis Adjusted Microcanonical Hamiltonian Monte Carlo,Room 4,probabilistic_methods
243,Multi-Agent Reinforcement Learning with Communication-Constrained Priors,Room 6,reinforcement_learning
244,Towards General Continuous Memory for Vision-Language Models,Room 9,deep_learning
245,Consistency of the $k_n$-nearest neighbor rule under adaptive sampling,Room 4,theory
246,A Semantic Parsing Framework for End-to-End Time Normalization,Room 3,applications
247,Inner Speech as Behavior Guides: Steerable Imitation of Diverse Behaviors for Human-AI coordination,Room 12,social_and_economic_aspects_of_machine_learning
248,Incentivizing LLMs to Self-Verify Their Answers,Room 9,deep_learning
249,HPSERec: A Hierarchical Partitioning and Stepwise Enhancement Framework for Long-tailed Sequential Recommendation,Room 7,deep_learning
250,FlyLoRA: Boosting Task Decoupling and Parameter Efficiency via Implicit Rank-Wise Mixture-of-Experts,Room 10,deep_learning
251,CAS-Spec: Cascade Adaptive Self-Speculative Decoding for On-the-Fly Lossless Inference Acceleration of LLMs,Room 8,deep_learning
252,Doodle to Detect: A Goofy but Powerful Approach to Skeleton-based Hand Gesture Recognition,Room 2,deep_learning
253,AutoDiscovery: Open-ended Scientific Discovery via Bayesian Surprise,Room 3,machine_learning_for_sciences
254,Graph-Based Attention for Differentiable MaxSAT Solving,Room 3,optimization
255,Table as a Modality for Large Language Models,Room 7,deep_learning
256,Pass@K Policy Optimization: Solving Harder Reinforcement Learning Problems,Room 4,reinforcement_learning
257,Sequential Attention-based Sampling for Histopathological Analysis,Room 2,machine_learning_for_sciences
258,DISCOVER: Automated Curricula for Sparse-Reward Reinforcement Learning,Room 3,reinforcement_learning
259,EnerVerse: Envisioning Embodied Future Space for Robotics Manipulation,Room 5,applications
260,LogicTree: Improving Complex Reasoning of LLMs via Instantiated Multi-step Synthetic Logical Data,Room 3,deep_learning
261,Gradient-Guided Epsilon Constraint Method for Online Continual Learning,Room 12,deep_learning
262,MemEIC: A Step Toward Continual and Compositional Knowledge Editing,Room 2,applications
263,Far from the Shallow: Brain-Predictive Reasoning Embedding through Residual Disentanglement,Room 9,neuroscience_and_cognitive_science
264,Dynamics-Aligned Latent Imagination in Contextual World Models for Zero-Shot Generalization,Room 3,reinforcement_learning
265,Multitask Learning  with Stochastic Interpolants,Room 6,deep_learning
266,Towards Understanding Safety Alignment: A Mechanistic Perspective from Safety Neurons,Room 7,social_and_economic_aspects_of_machine_learning
267,FUDOKI: Discrete Flow-based Unified Understanding and Generation via Kinetic-Optimal Velocities,Room 8,deep_learning
268,Fast MRI for All: Bridging Access Gaps by Training without Raw Data,Room 1,machine_learning_for_sciences
269,Linearly Constrained Diffusion Implicit Models,Room 12,deep_learning
270,Adaptive Cannistraci-Hebb Network Automata Modelling of Complex Networks for Path-based Link Prediction,Room 1,machine_learning_for_sciences
271,SceneForge: Enhancing 3D-text alignment with Structured Scene Compositions,Room 9,deep_learning
272,"Knowledge Insulating Vision-Language-Action Models: Train Fast, Run Fast, Generalize Better",Room 7,deep_learning
273,Thompson Sampling in Function Spaces via Neural Operators,Room 4,general_machine_learning
274,Investigating and Mitigating Catastrophic Forgetting in Medical Knowledge Injection through Internal Knowledge Augmentation Learning,Room 3,deep_learning
275,Estimation of Stochastic Optimal Transport Maps,Room 6,theory
276,"A Latent Multilayer Graphical Model For Complex, Interdependent Systems",Room 1,probabilistic_methods
277,Time-Masked Transformers with Lightweight Test-Time Adaptation for Neural Speech Decoding,Room 8,neuroscience_and_cognitive_science
278,Time-Embedded Algorithm Unrolling for Computational MRI,Room 4,machine_learning_for_sciences
279,Flow Matching-Based Autonomous Driving Planning with Advanced Interactive Behavior Modeling,Room 5,reinforcement_learning
280,Model-Based Policy Adaptation for Closed-Loop End-to-end Autonomous Driving,Room 2,reinforcement_learning
281,Procurement Auctions with Predictions: Improved Frugality for Facility Location,Room 6,theory
282,Interactive and Hybrid Imitation Learning: Provably Beating Behavior Cloning,Room 10,reinforcement_learning
283,InvFusion: Bridging Supervised and Zero-shot Diffusion for Inverse Problems,Room 12,deep_learning
284,AutoRedTeamer: Autonomous Red Teaming with Lifelong Attack Integration,Room 3,social_and_economic_aspects_of_machine_learning
285,Next Semantic Scale Prediction via Hierarchical Diffusion Language Models,Room 11,deep_learning
286,Discretization-free Multicalibration through Loss Minimization over Tree Ensembles,Room 4,social_and_economic_aspects_of_machine_learning
287,Offline Actor-Critic for Average Reward MDPs,Room 4,reinforcement_learning
288,Consensus-Robust Transfer Attacks via Parameter and Representation Perturbations,Room 10,social_and_economic_aspects_of_machine_learning
289,Fully Spiking Neural Networks for Unified Frame-Event Object Tracking,Room 9,applications
290,SimpleStrat: Diversifying Language Model Generation with Stratification,Room 1,probabilistic_methods
291,Let's Revise Step-by-Step: A Unified Local Search Framework for Code Generation with LLMs,Room 3,deep_learning
