group,primary_cat,title,abstract
Mathematics,math.AT,Manifolds admitting a $\tilde G_2$-structure,"  We find a necessary and sufficient condition for a compact 7-manifold to
admit a $\tilde G_2$-structure. As a result we find a sufficient condition for
an open 7-manifold to admit a closed 3-form of $\tilde G_2$-type.
"
Quantitative Finance,q-fin.PR,Risk-indifference Pricing of American-style Contingent Claims,"This paper studies the pricing of contingent claims of American style, using indifference pricing by fully dynamic convex risk measures. We provide a general definition of risk-indifference prices for buyers and sellers in continuous time, in a setting where buyer and seller have potentially different information, and show that these definitions are consistent with no-arbitrage principles. Specifying to stochastic volatility models, we characterize indifference prices via solutions of Backward Stochastic Differential Equations reflected at Backward Stochastic Differential Equations and show that this characterization provides a basis for the implementation of numerical methods using deep learning."
Quantitative Biology,q-bio.NC,Extracting synaptic conductances from single membrane potential traces,"  In awake animals, the activity of the cerebral cortex is highly complex, with
neurons firing irregularly with apparent Poisson statistics. One way to
characterize this complexity is to take advantage of the high interconnectivity
of cerebral cortex and use intracellular recordings of cortical neurons, which
contain information about the activity of thousands of other cortical neurons.
Identifying the membrane potential (Vm) to a stochastic process enables the
extraction of important statistical signatures of this complex synaptic
activity. Typically, one estimates the total synaptic conductances (excitatory
and inhibitory) but this type of estimation requires at least two Vm levels and
therefore cannot be applied to single Vm traces. We propose here a method to
extract excitatory and inhibitory conductances (mean and variance) from single
Vm traces. This ""VmT method"" estimates conductance parameters using maximum
likelihood criteria, under the assumption are that synaptic conductances are
described by Gaussian stochastic processes and are integrated by a passive
leaky membrane. The method is illustrated using models and is tested on
guinea-pig visual cortex neurons in vitro using dynamic-clamp experiments. The
VmT method holds promises for extracting conductances from single-trial
measurements, which has a high potential for in vivo applications.
"
Quantitative Biology,q-bio.OT,"Generalized Resemblance Theory of Evidence: a Proposal for
  Precision/Personalized Evidence-Based Medicine","  Precision medicine emerges as the most important contemporary paradigm shift
of medical practice but has several challenges in evidence formation and
implementation for clinical practice. Precision/Personalized evidence-based
medicine (pEBM) requires theoretical support for decision making and
information management. This study aims to provide the required methodological
framework. Generalized Resemblance Theory of Evidence mainly rests upon
Generalized Theory of Uncertainty which manages information as generalized
constraints rather than limited statistical data, and also Prototype
Resemblance Theory of Disease which defines diseases/conditions when there is a
similarity relationship with prototypes (best examples of the disease). The
proposed theory explains that precisely-personalized structure of evidence is
formed as a generalized constraint on particular research questions, where the
constraining relation deals with averaged effect sizes of studies and its
comparison to null hypothesis; which might be of either probabilistic or
possibilistic nature. Similarity measures were employed to deal with
comparisons of high-dimensional characteristics. Real examples of a
meta-analysis and its clinical application are provided. This is one of the
first attempts for introducing a framework in medicine, which provides optimal
balance between generalizability of formed evidence and homogeneity of studied
populations.
"
Physics,physics.pop-ph,Whither Does the Sun Rove?,"  If one asked some friends where on the horizon they should expect to see the
sunrise, half of the answers would be ""in the east"". Of course, something
analogous would happen with the sunset and the west. However, sunrise and
sunset virtually never occur at these cardinal points. In fact, those answers
correctly describe observations only during the equinoxes, when either autumn
or spring begin. Once we recall this, the next natural question to ask
ourselves is: how far from the east (or from the west) the rising (or setting)
Sun is located for a given latitude of the observer and for a given day of the
year. In this paper we supply some simple tools to easily visualize the angular
(southward or northward) departure of the rising and setting Sun on the horizon
from the east-west direction in a pictorial way, without the need of
mathematics. These tools have proven a valuable resource in teaching
introductory physics and astronomy courses.
"
Economics,econ.EM,Individual Causal Inference Using Panel Data With Multiple Outcomes,"  Policy evaluation in empirical microeconomics has been focusing on estimating
the average treatment effect and more recently the heterogeneous treatment
effects, often relying on the unconfoundedness assumption. We propose a method
based on the interactive fixed effects model to estimate treatment effects at
the individual level, which allows both the treatment assignment and the
potential outcomes to be correlated with the unobserved individual
characteristics. This method is suitable for panel datasets where multiple
related outcomes are observed for a large number of individuals over a small
number of time periods. Monte Carlo simulations show that our method
outperforms related methods. To illustrate our method, we provide an example of
estimating the effect of health insurance coverage on individual usage of
hospital emergency departments using the Oregon Health Insurance Experiment
data.
"
Statistics,stat.AP,"Mixed Effect Modelling of Single Trial Variability in Ultra-High Field
  fMRI","  Neuronal brain activity in response to repeated stimuli can be perceived
using functional magnetic resonance imaging (fMRI). In this paper, we develop a
statistical model for fMRI data that estimates both the associated haemodynamic
response function and the within and between trial variability through maximum
likelihood estimation. We discuss our results in the context of other
model-driven approaches, extending models already popular in the literature,
while removing the need for some of their assumptions. We consider an
application to the motor cortex activity caused by a subject pressing a button
and observe that the response changes significantly with task and through time.
"
Computer Science,cs.IR,Behavioral On-Line Advertising,"  We present a new algorithm for behavioral targeting of banner advertisements.
We record different user's actions such as clicks, search queries and page
views. We use the collected information on the user to estimate in real time
the probability of a click on a banner. A banner is displayed if it either has
the highest probability of being clicked or if it is the one that generates the
highest average profit.
"
Quantitative Finance,q-fin.MF,A superhedging approach to stochastic integration,"  Using Vovk's outer measure, which corresponds to a minimal superhedging
price, the existence of quadratic variation is shown for ""typical price paths""
in the space of c\`adl\`ag functions possessing a mild restriction on the jumps
directed downwards. In particular, this result includes the existence of
quadratic variation of ""typical price paths"" in the space of non-negative
c\`adl\`ag paths and implies the existence of quadratic variation in the sense
of F\""ollmer quasi surely under all martingale measures. Based on the robust
existence of the quadratic variation, a model-free It\^o integration is
developed.
"
Electrical Engineering,eess.AS,Improving RNN-T ASR Accuracy Using Context Audio,"  We present a training scheme for streaming automatic speech recognition (ASR)
based on recurrent neural network transducers (RNN-T) which allows the encoder
network to learn to exploit context audio from a stream, using segmented or
partially labeled sequences of the stream during training. We show that the use
of context audio during training and inference can lead to word error rate
reductions of more than 6% in a realistic production setting for a voice
assistant ASR system. We investigate the effect of the proposed training
approach on acoustically challenging data containing background speech and
present data points which indicate that this approach helps the network learn
both speaker and environment adaptation. To gain further insight into the
ability of a long short-term memory (LSTM) based ASR encoder to exploit
long-term context, we also visualize RNN-T loss gradients with respect to the
input.
"
Nonlinear Sciences,nlin.SI,"Integrable Systems with Unitary Invariance from Non-stretching Geometric
  Curve Flows in the Hermitian Symmetric Space Sp(n)/U(n)","  A moving parallel frame method is applied to geometric non-stretching curve
flows in the Hermitian symmetric space Sp(n)/U(n) to derive new integrable
systems with unitary invariance. These systems consist of a bi-Hamiltonian
modified Korteweg-de Vries equation and a Hamiltonian sine-Gordon (SG)
equation, involving a scalar variable coupled to a complex vector variable. The
Hermitian structure of the symmetric space Sp(n)/U(n) is used in a natural way
from the beginning in formulating a complex matrix representation of the
tangent space sp(n)/u(n) and its bracket relations within the symmetric Lie
algebra (u(n),sp(n)).
"
Physics,gr-qc,"Murphy et al. Reply to the Comment by Kopeikin on ""Gravitomagnetic
  Influence on Gyroscopes and on the Lunar Orbit""","  Lunar laser ranging analysis, as regularly performed in the solar system
barycentric frame, requires the presence of the gravitomagnetic term in the
equation of motion at the strength predicted by general relativity. The same
term is responsible for the Lense Thirring effect. Any attempt to modify the
strength of the gravitomagnetic interaction would have to do so in a way that
does not destroy the fit to lunar ranging data and other observations.
"
Statistics,stat.CO,"Gradient-based stochastic optimization methods in Bayesian experimental
  design","  Optimal experimental design (OED) seeks experiments expected to yield the
most useful data for some purpose. In practical circumstances where experiments
are time-consuming or resource-intensive, OED can yield enormous savings. We
pursue OED for nonlinear systems from a Bayesian perspective, with the goal of
choosing experiments that are optimal for parameter inference. Our objective in
this context is the expected information gain in model parameters, which in
general can only be estimated using Monte Carlo methods. Maximizing this
objective thus becomes a stochastic optimization problem.
  This paper develops gradient-based stochastic optimization methods for the
design of experiments on a continuous parameter space. Given a Monte Carlo
estimator of expected information gain, we use infinitesimal perturbation
analysis to derive gradients of this estimator. We are then able to formulate
two gradient-based stochastic optimization approaches: (i) Robbins-Monro
stochastic approximation, and (ii) sample average approximation combined with a
deterministic quasi-Newton method. A polynomial chaos approximation of the
forward model accelerates objective and gradient evaluations in both cases. We
discuss the implementation of these optimization methods, then conduct an
empirical comparison of their performance. To demonstrate design in a nonlinear
setting with partial differential equation forward models, we use the problem
of sensor placement for source inversion. Numerical results yield useful
guidelines on the choice of algorithm and sample sizes, assess the impact of
estimator bias, and quantify tradeoffs of computational cost versus solution
quality and robustness.
"
Mathematics,math.PR,Solving SPDEs driven by colored noise: a chaos approach,"  An Ito-Skorokhod bi-linear equation driven by infinitely many independent
colored noises is considered in a normal triple of Hilbert spaces. The special
feature of the equation is the appearance of the Wick product in the definition
of the Ito-Skorokhod integral, requiring innovative approaches to computing the
solution. A chaos expansion of the solution is derived and several truncations
of this expansion are studied. A recursive approximation of the solution is
suggested and the corresponding approximation error bound is computed.
"
Statistics,stat.AP,"Locally adaptive spatial smoothing using conditional autoregressive
  models","  Conditional autoregressive (CAR) models are commonly used to capture spatial
correlation in areal unit data, and are typically specified as a prior
distribution for a set of random effects, as part of a hierarchical Bayesian
model. The spatial correlation structure induced by these models is determined
by geographical adjacency, so that two areas have correlated random effects if
they share a common border. However, this correlation structure is too
simplistic for real data, which are instead likely to include sub-regions of
strong correlation as well as locations at which the response exhibits a
step-change. Therefore this paper proposes an extension to CAR priors, which
can capture such localised spatial correlation. The proposed approach takes the
form of an iterative algorithm, which sequentially updates the spatial
correlation structure in the data as well as estimating the remaining model
parameters. The efficacy of the approach is assessed by simulation, and its
utility is illustrated in a disease mapping context, using data on respiratory
disease risk in Greater Glasgow, Scotland.
"
Computer Science,cs.CL,"Solving puzzles described in English by automated translation to answer
  set programming and learning how to do that translation","  We present a system capable of automatically solving combinatorial logic
puzzles given in (simplified) English. It involves translating the English
descriptions of the puzzles into answer set programming(ASP) and using ASP
solvers to provide solutions of the puzzles. To translate the descriptions, we
use a lambda-calculus based approach using Probabilistic Combinatorial
Categorial Grammars (PCCG) where the meanings of words are associated with
parameters to be able to distinguish between multiple meanings of the same
word. Meaning of many words and the parameters are learned. The puzzles are
represented in ASP using an ontology which is applicable to a large set of
logic puzzles.
"
Quantitative Biology,q-bio.CB,An individual-based model for biofilm formation at liquid surfaces,"  The bacterium {\em Bacilus subtilis} frequently forms biofilms at the
interface between the culture medium and the air. We develop a mathematical
model that couples a description of bacteria as individual discrete objects to
the standard advection-diffusion equations for the environment. The model takes
into account two different bacterial phenotypes. In the motile state, bacteria
swim and perform a run-and-tumble motion that is biased toward regions of high
oxygen concentration (aerotaxis). In the matrix-producer state they excrete
extracellular polymers, which allows them to connect to other bacteria and to
form a biofilm. Bacteria are also advected by the fluid, and can trigger
bioconvection. Numerical simulations of the model reproduce all the stages of
biofilm formation observed in laboratory experiments. Finally, we study the
influence of various model parameters on the dynamics and morphology of
biofilms.
"
Physics,nucl-ex,"Isotopic dependence of the giant monopole resonance in the even-A
  ^{112-124}Sn isotopes and the asymmetry term in nuclear incompressibility","  The strength distributions of the giant monopole resonance (GMR) have been
measured in the even-A Sn isotopes (A=112--124) with inelastic scattering of
400-MeV $\alpha$ particles in the angular range
  $0^\circ$--$8.5^\circ$. We find that the experimentally-observed GMR energies
of the Sn isotopes are lower than the values predicted by theoretical
calculations that reproduce the GMR energies in $^{208}$Pb and $^{90}$Zr very
well. From the GMR data, a value of $K_{\tau} = -550 \pm 100$ MeV is obtained
for the asymmetry-term in the nuclear incompressibility.
"
Physics,physics.data-an,"Eigenvalue Decomposition as a Generalized Synchronization Cluster
  Analysis","  Motivated by the recent demonstration of its use as a tool for the detection
and characterization of phase-shape correlations in multivariate time series,
we show that eigenvalue decomposition can also be applied to a matrix of
indices of bivariate phase synchronization strength. The resulting method is
able to identify clusters of synchronized oscillators, and to quantify their
strength as well as the degree of involvement of an oscillator in a cluster.
Since for the case of a single cluster the method gives similar results as our
previous approach, it can be seen as a generalized Synchronization Cluster
Analysis, extending its field of application to more complex situations. The
performance of the method is tested by applying it to simulation data.
"
Mathematics,math.DS,The Dynamics of Rabinovich system,"  The paper presents some dynamical aspects of Rabinovich type, with
distributed delay and with fractional derivatives.
"
Economics,econ.TH,Reasoning about Bounded Reasoning,"Interactive decision-making relies on strategic reasoning. Two prominent frameworks capture this idea. One follows a structural perspective, exemplified by level-$k$ and Cognitive Hierarchy models, which represent reasoning as an algorithmic process. The other adopts an epistemic perspective, formalizing reasoning through beliefs and higher-order beliefs. We connect these approaches by ""lifting"" static complete-information games into incomplete-information settings where payoff types reflect players' levels. Within this unified framework, reasoning is represented through mathematically explicit and transparent belief restrictions. We analyze three instances: downward rationalizability, a robust benchmark concept; and two refinements, L-rationalizability and CH-rationalizability, which provide epistemic foundations -- albeit with a nuance -- for the classic level-$k$ and Cognitive Hierarchy models, respectively. Our results clarify how reasoning depth relates to behavioral predictions, distinguish cognitive limits from belief restrictions, and connect bounded reasoning to robustness principles from mechanism design. The framework thus offers a transparent and tractable bridge between structural and epistemic approaches to reasoning in games."
Mathematics,math.GR,Conjugacy Classes of Centralizers in $G_2$,"  Let $G$ be an algebraic group of type $G_2$ over a field $k$ of
characteristic $\neq 2,3$. In this paper we calculate centralizers of
semisimple elements in anisotropic $G_2$. Using these, we show explicitly that
there are six conjugacy classes of centralizers in the compact real form of
$G_2$.
"
Economics,econ.EM,"Dimensional Analysis in Economics: A Study of the Neoclassical Economic
  Growth Model","  The fundamental purpose of the present research article is to introduce the
basic principles of Dimensional Analysis in the context of the neoclassical
economic theory, in order to apply such principles to the fundamental relations
that underlay most models of economic growth. In particular, basic instruments
from Dimensional Analysis are used to evaluate the analytical consistency of
the Neoclassical economic growth model. The analysis shows that an adjustment
to the model is required in such a way that the principle of dimensional
homogeneity is satisfied.
"
Statistics,stat.CO,Improving Simulated Annealing through Derandomization,"  We propose and study a version of simulated annealing (SA) on continuous
state spaces based on $(t,s)_R$-sequences. The parameter $R\in\bar{\mathbb{N}}$
regulates the degree of randomness of the input sequence, with the case $R=0$
corresponding to IID uniform random numbers and the limiting case $R=\infty$ to
$(t,s)$-sequences. Our main result, obtained for rectangular domains, shows
that the resulting optimization method, which we refer to as QMC-SA, converges
almost surely to the global optimum of the objective function $\varphi$ for any
$R\in\mathbb{N}$. When $\varphi$ is univariate, we are in addition able to show
that the completely deterministic version of QMC-SA is convergent. A key
property of these results is that they do not require objective-dependent
conditions on the cooling schedule. As a corollary of our theoretical analysis,
we provide a new almost sure convergence result for SA which shares this
property under minimal assumptions on $\varphi$. We further explain how our
results in fact apply to a broader class of optimization methods including for
example threshold accepting, for which to our knowledge no convergence results
currently exist. We finally illustrate the superiority of QMC-SA over SA
algorithms in a numerical study.
"
Computer Science,cs.FL,"A measure of state transition of collective of stateless automata in
  discrete environment","  In this work a collective of interacting stateless automata in a discrete
geometric environment is considered as an integral automata-like computational
dynamic object. For such distributed on the environment object different
approaches to definition of the measure of state transition are possible. We
propose a geometric approach for defining what a state is.
"
Physics,physics.app-ph,"Electrical transport and optical band gap of
  NiFe$_\textrm{2}$O$_\textrm{x}$ thin films","  We fabricated NiFe$_\textrm{2}$O$_\textrm{x}$ thin films on
MgAl$_2$O$_4$(001) substrates by reactive dc magnetron co-sputtering varying
the oxygen partial pressure during deposition. The fabrication of a variable
material with oxygen deficiency leads to controllable electrical and optical
properties which would be beneficial for the investigations of the transport
phenomena and would, therefore, promote the use of such materials in spintronic
and spin caloritronic applications. We used several characterization techniques
in order to investigate the film properties, focusing on their structural,
magnetic, electrical, and optical properties. From the electrical resistivity
measurements we obtained the conduction mechanisms that govern the systems in
high and low temperature regimes, extracting low thermal activation energies
which unveil extrinsic transport mechanisms. The thermal activation energy
decreases in the less oxidized samples revealing the pronounced contribution of
a large amount of electronic states localized in the band gap to the electrical
conductivity. Hall effect measurements showed the mixed-type semiconducting
character of our films. The optical band gaps were determined via
ultraviolet-visible spectroscopy. They follow a similar trend as the thermal
activation energy, with lower band gap values in the less oxidized samples.
"
Physics,physics.optics,Optical characterization of ultra-high diffraction efficiency gratings,"  We report on the optical characterization of an ultra-high diffraction
efficiency grating in 1st order Littrow configuration. The apparatus used was
an optical cavity built from the grating under investigation and an additional
high reflection mirror. Measurement of the cavity finesse provided precise
information about the grating's diffraction efficiency and its optical loss. We
measured a finesse of 1580 from which we deduced a diffraction efficiency of
(99.635$\pm$0.016)% and an overall optical loss due to scattering and
absorption of just 0.185 %.
  Such high quality gratings, including the tool used for their
characterization, might apply for future gravitational wave detectors. For
example the demonstrated cavity itself presents an all-reflective, low-loss
Fabry-Perot resonator that might replace conventional arm cavities in advanced
high power Michelson interferometers.
"
Nonlinear Sciences,nlin.SI,"Initial-boundary value problems for discrete evolution equations:
  discrete linear Schrodinger and integrable discrete nonlinear Schrodinger
  equations","  We present a method to solve initial-boundary value problems for linear and
integrable nonlinear differential-difference evolution equations. The method is
the discrete version of the one developed by A. S. Fokas to solve
initial-boundary value problems for linear and integrable nonlinear partial
differential equations via an extension of the inverse scattering transform.
The method takes advantage of the Lax pair formulation for both linear and
nonlinear equations, and is based on the simultaneous spectral analysis of both
parts of the Lax pair. A key role is also played by the global algebraic
relation that couples all known and unknown boundary values. Even though
additional technical complications arise in discrete problems compared to
continuum ones, we show that a similar approach can also solve initial-boundary
value problems for linear and integrable nonlinear differential-difference
equations. We demonstrate the method by solving initial-boundary value problems
for the discrete analogue of both the linear and the nonlinear Schrodinger
equations, comparing the solution to those of the corresponding continuum
problems. In the linear case we also explicitly discuss Robin-type boundary
conditions not solvable by Fourier series. In the nonlinear case we also
identify the linearizable boundary conditions, we discuss the elimination of
the unknown boundary datum, we obtain explicitly the linear and continuum limit
of the solution, and we write down the soliton solutions.
"
Nonlinear Sciences,nlin.PS,"Effects of source and loss terms on the wave-pinning description of cell
  polarisation","  A system of two Schnakenberg-like reaction-diffusion equations is
investigated analytically and numerically. The system has previously been used
as a minimal model for concentrations of GTPases involved in the process of
cell polarisation. Source and loss terms are added, breaking the mass
conservation, which was shown previously to be responsible for the generation
of stable fronts via a so-called wave-pinning mechanism. The extended model
gives rise to a unique homogeneous equilibrium in the parameter region of
interest, which loses stability via a pattern formation, or Turing bifurcation.
The bistable character of the reaction terms ensures that this bifurcation is
subcrtical for sufficiently small values of the driving parameter multiplying
the nonlinear kinetics. This subcriticality leads to the onset of a multitude
of localised solutions, through the homoclinic snaking mechanism. As the
driving parameter is further decreased, the multitude of solutions transforms
into a single pulse through a Belyakov-Devaney transition in which there is the
loss of a precursive pattern. An asymptotic analysis is used to probe the
conservative limit in which the source and loss terms vanish. Matched
asymptotic analysis shows that on an infinite domain the pulse solution
transitions into a pair of fronts, with an additional weak quadratic core and
exponential tails. On a finite domain, the core and tails disappear, leading to
the mere wave-pinning front and its mirror image.
"
Quantitative Finance,q-fin.TR,Analysis of frequent trading effects of various machine learning models,"  In recent years, high-frequency trading has emerged as a crucial strategy in
stock trading. This study aims to develop an advanced high-frequency trading
algorithm and compare the performance of three different mathematical models:
the combination of the cross-entropy loss function and the quasi-Newton
algorithm, the FCNN model, and the vector machine. The proposed algorithm
employs neural network predictions to generate trading signals and execute buy
and sell operations based on specific conditions. By harnessing the power of
neural networks, the algorithm enhances the accuracy and reliability of the
trading strategy. To assess the effectiveness of the algorithm, the study
evaluates the performance of the three mathematical models. The combination of
the cross-entropy loss function and the quasi-Newton algorithm is a widely
utilized logistic regression approach. The FCNN model, on the other hand, is a
deep learning algorithm that can extract and classify features from stock data.
Meanwhile, the vector machine is a supervised learning algorithm recognized for
achieving improved classification results by mapping data into high-dimensional
spaces. By comparing the performance of these three models, the study aims to
determine the most effective approach for high-frequency trading. This research
makes a valuable contribution by introducing a novel methodology for
high-frequency trading, thereby providing investors with a more accurate and
reliable stock trading strategy.
"
Physics,cond-mat.quant-gas,"Effect of interactions on the diffusive expansion of a Bose-Einstein
  condensate in a 3D random potential","  We theoretically study the influence of weak interactions on the diffusive
expansion of a Bose-Einstein condensate in a three-dimensional random
potential. For this purpose we develop a perturbative approach and calculate
analytically the first-order nonlinear correction to the ensemble-averaged
atomic density as a function of position and time. We find that interactions
renormalize the typical diffusion coefficient of the condensate. The magnitude
of the nonlinear correction is controlled by a single dimensionless parameter
that includes both interaction and disorder strengths.
"
Computer Science,cs.RO,Stiffness Analysis Of Multi-Chain Parallel Robotic Systems,"  The paper presents a new stiffness modelling method for multi-chain parallel
robotic manipulators with flexible links and compliant actuating joints. In
contrast to other works, the method involves a FEA-based link stiffness
evaluation and employs a new solution strategy of the kinetostatic equations,
which allows computing the stiffness matrix for singular postures and to take
into account influence of the internal forces. The advantages of the developed
technique are confirmed by application examples, which deal with stiffness
analysis of the Orthoglide manipulator.
"
Economics,econ.TH,The geometry of consumer preference aggregation,"  We revisit a classical question of how individual consumer preferences and
incomes shape aggregate behavior. We develop a method that applies to
populations with homothetic preferences and reduces the hard problem of
aggregation to simply computing a weighted average in the space of logarithmic
expenditure functions. We apply the method to identify aggregation-invariant
preference domains, characterize aggregate preferences from common domains like
linear or Leontief, and describe indecomposable preferences that do not
correspond to the aggregate behavior of any non-trivial population.
Applications include robust welfare analysis, information design, discrete
choice models, pseudo-market mechanisms, and preference identification.
"
